playlist,total,deduped,removed,m3u
Voyage & Découverte (500 titres),500,373,127,/app/playlists/reports/deduped/Voyage__Dcouverte_500_titres_deduped.m3u
Workout intense (36 titres),36,25,11,/app/playlists/reports/deduped/Workout_intense_36_titres_deduped.m3u
Workout performance (140 titres),140,121,19,/app/playlists/reports/deduped/Workout_performance_140_titres_deduped.m3u
World vibes (47 titres),47,35,12,/app/playlists/reports/deduped/World_vibes_47_titres_deduped.m3u
Yoga & Méditation (303 titres),303,229,74,/app/playlists/reports/deduped/Yoga__Mditation_303_titres_deduped.m3u
Yoga (120 titres),120,99,21,/app/playlists/reports/deduped/Yoga_120_titres_deduped.m3u
À redécouvrir (68 titres),68,54,14,/app/playlists/reports/deduped/redcouvrir_68_titres_deduped.m3u
Épique & Cinématique (500 titres),500,393,107,/app/playlists/reports/deduped/pique__Cinmatique_500_titres_deduped.m3u
Été & Soleil (500 titres),500,406,94,/app/playlists/reports/deduped/t__Soleil_500_titres_deduped.m3u
⭐ 1 étoiles (9 titres),9,8,1,/app/playlists/reports/deduped/1_toiles_9_titres_deduped.m3u
⭐ 2 étoiles (6 titres),6,6,0,/app/playlists/reports/deduped/2_toiles_6_titres_deduped.m3u
⭐ 3 étoiles (11 titres),11,7,4,/app/playlists/reports/deduped/3_toiles_11_titres_deduped.m3u
⭐ 4 étoiles (111 titres),111,73,38,/app/playlists/reports/deduped/4_toiles_111_titres_deduped.m3u
⭐ 5 étoiles (98 titres),98,69,29,/app/playlists/reports/deduped/5_toiles_98_titres_deduped.m3u
⭐ Stars 80 FR & US (17274 titres),17274,8764,8510,/app/playlists/reports/deduped/Stars_80_FR__US_17274_titres_deduped.m3u
